,berita,categories,berantai,topik,jenis,,,
1,,salah,,,[misleading content],,,
2,,salah,,,[misleading content],,,
3,"“Tolong Infokan kpd Saudara2, Sahabat kita yg terjangkit Covid.19 atau yg akan Rapid test dan Swab.
Ini obat Herbal yg Manjur sekaligus Anugerah dari Allah, yg mudah didapat dan tersedia di Lingkungan kita utk Membunuh VIRUS &
COVID. 19.

Bahan2nya Sbb :
🥥 Air KELAPA MUDA (1 buah)
🍈 Air JERUK NIPIS (1 buah)
🥄 GARAM 1/2
Sendok Teh
🥃 MADU 2 Sendok”“Semuanya diaduk dan Minum Airnya.
1 jam kemudian Virusnya dijamin akan hilang dan Hasil test RAPID/SWAB kembali Normal dan dinyatakan Negatif.
Mudah-mudahan Semuanya dalam Keadaan Sehat Walafiat.
Noot :
Agar Infokan kpd Sahabat & keluarga.
Semoga Bermanfaat
Sudah di uji coba Kepada Pasien an. Bapak BERTUS TNI-AD Tugas di KODAM Brawijaya
Swab pertama : Hasilnya dinyatakan POSITIF Covid.19
Sehari Kemudian Minum Ramuan ini dan ditest Swab kembali…..Hasilnya Dinyatakan NEGATIF*🙏🙏🤝
VIRALKAN : Agar INDONESIA NORMAL KEMBALI.
Target : 200 Juta Penduduk INDONESIA Baca dan Minum-Minuman HERBAL Ini Agar Tidak Takut Lagi Hadapi COVID. 19
Sbg MOMOK Seluruh BANGSA di Dunia.
Kirimkan ke semua GROUP & WA demiu kemaslahatan Umat Dan Keselamatan
Bangsa Indonesia
Khususnya .-“

Air kelapa dan jeruk obat covid
Air kelapa untuk corona",salah,berantai,kesehatan,[misleading content],,,
4,"“…FDA (BPOM AMERIKA) telah menyetujui penggunaan imvermectin untuk manusia sejak tahun 1981 dan WHO telah memasukkan invermectin kedalam daftar obat yang penting pada tahun yang sama.

FDA mengakui bahwa invermectin dapat membunuh virus Covid-19 dalam tabung percobaan…”
Ivermectim
Invermectim",salah,tidak berantai,kesehatan,[misleading content],,,
5,,salah,,,[impostor content],,,
6,,salah,,,[fabricated content],,,
7,,salah,,,[misleading content],,,
8,,salah,,,[misleading content],,,
9,"
“Cek nama Anda untuk menerima bantuan PPKM sebesar Rp 300.000.

Periksa apakah nama Anda ada di daftar untuk menarik manfaat

Daftar lengkap
http://bantuanppkm.online/pembagian-subsidi/?PPKMjuli”
Daftar penerima ppkm
Bantuan PPKM darurat bulan juli
Bansos ppkm
Bantuan ppkm bulan juli
danabantuan-ppkm.online
hoax ppkm
Link bantuan ppkm",salah,tidak berantai,ekonomi,[fabricated content],,,
10,"“PPKM DARURAT

Pemerintah Kabupaten Sukabumi Memberlakukan

PERBANYAK PERGI KE MESJID

dari tanggal

3 Juli 2021 – 20 Juli 2021″",salah,tidak berantai,lainnya,[manipulated content],,,
11,"“SOLO BATASI KEGIATAN SAMPE JAM 8 MALAM KECUALI SEMANGGI , TERSERAH!!”",salah,tidak berantai,lainnya,[manipulated content],,,
12,,salah,,,[misleading content],,,
13,,salah,,,[misleading content],,,
14,“Info yg sy dpt ini racun yg di sebarkan lewat pesawat untuk area madura..?????????”,salah,tidak berantai,lainnya,[false context],,,
15,"“Kabar dari Pondok Wali Barokah Burengan, Kediri, untuk intern.
Wanhat (Dewan Penasehat) meminta penelitian kesehatan untuk bahan makanan yang mengandung babi…🐖🐖
Dari 8 barang yang diteliti:

Masako; positif (mengandung babi); 🐖🐖
Royko, negatif (tidak mengandung babi); 👍👍🏻
Micin sasa; positif (mengandung babi); 🐖🐖
Micin ajinamoto positif (mengandung babi); 🐖🐖
Indomie babi bumbunya positif (mengandung babi); 🐖🐖
Saori-saos tiram negatif (tidak menganduk babi); 👍👍🏻
Tepung bumbu sasa negatif (tidak mengandung babi); 👍👍🏻
Tepung bumbu sajiku negatif (tidak mengandung babi): 👍👍🏻”",salah,tidak berantai,lainnya,[misleading content],,,
16,"""BERITA TERBARU!

Secara resmi, hari ini WHO telah mendeklarasikan Indonesia sebagai negara A1 High Risk. sekarang termasuk dalam kategori yang sama dengan India, Pakistan, Brasil, Filipina, dan sejumlah negara Afrika.

Artinya, negara lain berhak menolak dan melarang siapa pun yang berasal dari Indonesia (dan negara-negara lain yang terdaftar di A1) memasuki wilayahnya.

Jumlah infeksi varian Covid meningkat drastis dalam sebulan terakhir, terutama di daerah perkotaan seperti Jakarta, Surabaya, dan Medan.

Sangat disarankan bagi semua orang untuk tetap terkurung dan menahan diri dari berkumpul dengan publik untuk menghindari penyebaran virus lebih lanjut.

Indonesian situation report yg dikeluarkan terakhir WHO tgl 23 juni

https://cdn.who.int/media/docs/default- source/searo/indonesia/covid19/external-situation-report-60_23-june- 2021.pdf?sfvrsn=15d6c3ad_5""",salah,tidak berantai,kesehatan,[manipulated content],,,
17,,salah,,,[manipulated content],,,
