teks,label,berantai,topik,
"Kalau ada yg kena covid tidak perlu panik dan tidak harus ke RS kalau memang tidak terlalu parah sesak napas sampai perlu ICU dan ventilator, karena saat ini RS khusus covid semua penuh, Bisa diobati sendiri, obat di RS untuk pasien covid seperti ini:
1. Antibiotik : Azitromycin 500mg 1x sehari, selama5-10 hari
2. Antivirus : Favipiravir (Avigan-Indofarma) 600mg 2x sehari selama 5 hari. 
3. Anti batuk u/ keluarin dahak sekaligus antiOxidant : Fluimucil Eff 600mg, 1-2x sehari, selama 14 hari
4. Anti radang : dexamethasone 0,5 (setelah hari ke 7-10), 3x sehari
5. Penurun panas : paracetamol/dumin/panadol/ sanmol 500mg, (jika demam)
6. Vit E : natur E hijau/orange
7. Vit B6 dan B 12 : neorobion
8. Vit D 3 dan Zinc 
9. Vit. C
10. Usahakan berjemur matahari pagi setidaknya 10-15 menit.

Jangan panik, berdoa dan tetap bersyukur, semangat dan gembira, karena hati yg gembira adalah obat. Selalu percaya dan yakin akan sembuh 😅",hoaks,tidak,kesehatan,Misleading Content
">> Just Info Goeess,...💪🏼💪🏼
Bisa di share ke grup keluarga kita, ttg covid 19.
JANGAN TUNGGU HARI KE 7*
Waspada covid19, jangan tunggu timbulnya demam tinggi dan banyak batuk, baru berpikir ! Terlambat sudah !

Kenali lebih awal mulai hari ke1 masuknya virus ke dalam tubuh, agar parahnya sakit bisa dicegah. Gejala demam tinggi baru muncul di hari ke 8, dimana virus sudah berhasil berkembang, merusak dan merasuk luas di dalam tubuh. Tingkatkan daya tahan tubuh sebelum virus berhasil menghancurkan kita.

Perhatikan keadaan diri kita sejak kemungkinan mulai terpapar, yaitu sebagai berikut :

Hari ke 1- 3 :
• Hanya seperti masuk angin ringan.
• Makan minum masih normal.
• Tenggorokan hanya sedikit sakit.

Hari ke 4 :
• Sakit kepala ringan.
• Badan sedikit anget, sekitar 36.5°C.
• Sakit tenggorokan ringan.
• Suara mulai serak.
• Selera makan mulai terganggu.
• Indera Perasa/Pengecap ""hilang""
• Indera penciuman juga menghilang.
• Sedikit diare ringan.

Hari ke 5 :
• Sakit tenggorokan.
• Suara serak.
• Badan mulai terasa meriang.
• Temperatur sekitar 36.5 - 36.7 °C.
• Badan terasa lelah, cape, sakit.
• Jari² dan persendian terasa sakit.

Hari ke 6 :
• Mulai demam ringan sekitar 37°C.
• Batuk kering atau sedikit berlendir.
• Sesekali terasa susah bernapas.
• Sakit Tenggorokan ketika bicara. 
• Sakit waktu makan dan menelan.
• Mual dan mungkin muntah.
• Ada diare.

Hari ke 7 :
• Demam agak tinggi 37.4 - 37.8 °C.
• Batuk lebih banyak dan berdahak.
• Napas pendek² dan tetap.
• Kepala sakit kepala dan berat.
• Nyeri² seluruh tubuh.
• Diare bertambah.

Hari ke 8 :
• Demam tinggi 38°C atau lebih.
• Sulit bernapas, dada terasa berat.
• Sakit kepala, punggung dan sendi².
• Batuk terus menerus.
• Sulit berbicara, seperti bisu.

Hari ke 9 :
• Semua gejala tidak berubah.
• Batuk bertambah parah.
• Demam tak menentu, tak teratur.
• Napas bertambah Sulit.
• Pencegahan sudah tak mungkin.
• Harus segera ditolong intensif.

Bila waspada di hari ke 1-3 tingkatkan daya tahan tubuh, minum vitamin² C, D, E serta sedia panadol (parasetamol), mungkin penyakit ini dapat dihalau untuk berakhir sebelum parah dan kesembuhan boleh didapatkan.

Gejala hari ke 1-3 sangat² ringan dan sering terabaikan tak terdeteksi. 
Mungkin hari ke 4 baru mulai curiga. Cepat isolasi mandiri, banyak minum air hangat atau jamu²an juga boleh. Berjemur diri, banyak cuci tangan, cuci muka, ganti baju. Makan makanan yg bergizi dan minum vitamin².

Selamat bersikap dan waspada. Tetap tenang namun bijak. Hindari kemungkinan terpapar sebisa mungkin. Semoga berhasil “berperang” melawan covid dan semoga kita tetap sehat.

Harap Perhatikan Perbedaannya !!!                      (Supaya tidak berprasangka buruk) 

1. Batuk kering + Bersin = Polusi udara.

2. Batuk + Lendir + Bersin + Pilek = Pilek biasa.

3. Batuk + Lendir + Bersin + Pilek + Sakit tubuh + Kelemahan + Demam ringan = Flu.

4. Batuk kering + Bersin + Nyeri tubuh + Kelemahan + Demam tinggi + Kesulitan bernapas + Hilangnya indra pengecap dan perasa =  Corona virus.

Departemen patologi AIIMS, 
Din. Kes. 

--------------------------------------------------
ini kiriman dari Din. Kes. tolong di share ke wadah dan komunitas masing-masing

Jadikan pesan ini tersedia untuk diketahui orang sebanyak mungkin !🙏🏻🙏🏻",Valid,berantai,kesehatan,imposter content
"""Saya lagi buat group What'sApp ""INFO SEPUTAR COVID10"" 100% Bisa mencegah, Yakni dengan merilis Pusat Informasi COVID-19 di WhatsApp. Pusat informasi ini berkolaborasi dengan organisasi kesehatan dunia WHO, UNICEF, dan UNDP. jika tdk keberatan, saya mau gabungkan di grup ini.gimana?",hoaks,tidak berantai,kesehatan,fabricated content
"""dr Siti Fadillah, dokter jantung dan mantan menteri kesehatan RI""

Menurut saya cara pengobatan Covid-19 di rumah dengan Isolasi Mandiri 

Pertama kita harus tahu bahwa batuk bukan penyakit utama, demam bukan penyakit utama, tapi itu hanya reaksi tubuh terhadap perlawanan infeksi atau lainnya, termasuk sakit tenggorokan.

Kalau kita beli obat flu, isinya adalah pereda nyeri tenggorokan, pereda batuk kering, pereda demam, ada pengencer dahak juga kadang kadang

Dari sini kita belajar, untuk penyembuhan flu diobati sesuai dengan gejala sakitnya apa.
Katakanlah Covid-19 gejala sakitnya adalah radang tenggorokan, batuk kering, demam, sesak nafas 

Maka pengobatan nya adalah :

1. Istirahat Total (ini wajib apapun jenis sakit flu nya, karena virus dilawan oleh antibodi ). Benar-benar istirahat sampai fit, bukan sampai badan terasa enakan. Harus sampai fit, bisa 7 hari istirahatnya.

2. Suplai vitamin dengan dosis double, kalau saya biasanya kena flu minum Farmaton Vit 2x sehari, Ester C 1000 mg 2x sehari, Madu 5 sendok, Habbats Cair 5 kapsul, Zaitun 3 sendok.

3. Jika sesak nafas (karena semua jenis flu yang menyerang manusia memang menyebabkan atau dibarengi sesak nafas, apalagi untuk orang yang punya asma seperti saya). Jadi tidak usah heran kalau Covid-19 katanya bikin sesak nafas, karena semua flu memang begitu.

Nah lanjut lagi, kalau sudah sesak nafas, pengobatan yang mujarab adalah dengan alat uap Nebulizer + obat Ventolin cair + cairan infus ( bisa dilakukan sendiri di rumah, sangat mudah dan tidak berbahaya ). Diuapi sehari 3x sampai hilang sesak nafasnya, biasanya 1-3 hari hilang sesaknya seiring dengan semakin membaiknya kondisi tubuh.

3. Jika batuk ada dahaknya, dengan diuapi ikutan sembuh batuknya, masalahnya dahak akan keluar banyak dan pasti membuat iritasi tenggorokan, sehingga membuat sakit tenggorokan.

4. Sakit tenggorokan diobati dengan Metyl Predynoasolon dan pereda nyeri nya Asam MaFenamat, biasanya 1 sampai 3x minum sudah sembuh.

5. Kalau demam tinggal panasnya diturunkan dengan Paracetamol (perlu diingat demam di sini berhubungan dengan infeksi, biasanya infeksi di tenggorokan atau radang tenggorokan). Kalau tidak ada radang tenggorokan yang parah, biasanya tidak akan demam.

6. Hindari makan buah yang bergetah seperti melon, nanas, semangka. Makan buah Jeruk saja, jeruk itu bagus.

7. Selama pengobatan ini, istirahat total dengan mengisolasi diri. Tidak usah mikir kerjaan, tidak usah mikir lain-lain (ini yang akan bantu buat percepat sembuhnya).

Coba dipelajari cara penyembuhan diatas esolasi di rumah saja. Apakah perlu kalian ke rumah sakit / klinik kalau cuma sakit flu ?

Tidak kasihan kah dengan para dokter, tenaga medis dan pasien sakit berat lainnya ?

Resep sederhana tanpa banyak teori, semoga bisa membantu...


https://m.facebook.com/story.php?story_fbid=151577800100017&id=100057433937943&sfnsn=wiwspwa


Sekilas info. Silahkan mana yg cocok utk pencegahan C19 scr mandiri 🙏🏽
Kalau ada yg kena covid tdk  panik dan tdk harus ke RS kalau memang tdk terlalu parah sesak napas sampai perlu ICU dan ventilator, krn saat ini RS khusus covid semua penuh.

Bisa diobati sendiri, obat di RS untuk pasien covid seperti ini:
- Antibiotik: azitromycin atau zitrothromax 500 mg diminum 10 hari
- Antivirus: fluvir 75
- anti batuk dan kluarin dahak: fluimucil 200mg
- anti radang: dexamethasone 0,5
- turun panas: paracetamol, sanmol
- jgn panik, berdoa dan tetap bersyukur, semangat dan gembira, krn hati yg gembira adalah obat. Selalu percaya dan yakin akan sembuh 😅

Tetap hrs minum multi vitamin C D E Zinc dan usahakan berjemur matahari pagi hari setidaknya 15 menit.



Silahkan di share ke semua yg membutuhkan, semoga dapat membantu  dan cepat sembuh. 🙏",hoaks,tidak berantai,kesehatan,Misleading Content
"Jalan2 yg ditutup di Bandung

Ke-23 ruas jalan yang ditutup tersebut antara lain:

Ring I
1. Jalan Ottista (Pasar Baru)
2. Jalan Asia Afrika–Tamblong
3. Jalan Naripan–Tamblong
4. Jalan Braga
5. Jalan Banceuy–Asia Afrika
6. Jalan Lembong–Tamblong
7. Jalan Merdeka
8. Jalan Ir H Juanda (Cikago sampai Simpang Dago)
9. Jl. Purnawarman
10. Jalan Dipatiukur (ditutup mulai pukul 17.00 WIB)
11. Jalan Alun-alun Timur

Ring II
(Sepanjang Jalan Lingkar Selatan yang mengarah ke pusat kota)

1. Jalan Ahmad Yani–Martadinata
2. Jalan Gatsu–Pelajar Pejuang 45
3. Jalan Talaga Bodas–Pelajar Pejuang 45
4. Jalan Lodaya–Pelajar Pejuang 45
5. Jalan Buahbatu–Pelajar Pejuang 45
6. Jalan Sriwijaya–Pelajar Pejuang 45
7. Jalan M Ramdhan–Pelajar Pejuang 45
8. Jalan Moch Toha–Pelajar Pejuang 45
9. Jalan Ottista–BKR
10. Jalan Kopo–Peta
11. Jalan Pasirkoja–Peta
12. Jalan Jamika–Peta (Simpang 5 B)

RING III
Pintu masuk Kota Bandung
1. Bundaran Cibiru
2. Cibeureum
3. Ledeng
4. Pintu keluar Tol Pasteur
5. Pintu keluar Tol Pasir Koja
6. Pintu keluar Tol Kopo
7. Pintu keluar Tol Moch Toha
8. Pintu keluar Tol Buahbatu",VALID,tidak berantai,Lain,
"Innalillahi wa innaillaihi roojiuun.... 

Kini alqur’an Nusantara sudah di Realisasikan

Astaghfirullah... 

Ya Allah ampunilah kami dan selamatkan kami dan Anak Cucu kami dari api neraka
😭😭😭😭



Telah dibagikan Al-Quran dengan terjemahan PALSU ke sekolah2 dg dalih wakaf Al-Quran. 
tolong Jika ada WAKAF QUR'AN PALSU
dicek surat Al-Maidah ayat 51 dst telah diganti  terjemahannya.....

Gerak cepat, Laporkan!!!!!!!!!''...... ada Al Qur'an Palsu.. sekarang sudah beredar, Al Quran terjemahan baru Al Maidah 51, ""pemimpin"" sudah berganti dengan ""teman setia""

Dan Hampir semua yg dijual di GRAMEDIA... Tafsirnya diganti jadi teman setia !!!

Ini.....Betul betul sdh keterlaluan
ISLAM YANG SESUNGGUHNYA....... DIHANTAM DARI SEMUA ARAH

Share ke smua sosmed biar saudara2 muslim kita tau..🚫 Berita yg ada Terkini 🚫

Ummat Islam sudah dapat berita bahwa Negara Amerika*telah melakukan pendistorsian/ pengubahan terhadap Al-Quran dan mengeluarkannya sebagai kitab baru yang di beri nama tauhid segitiga (trinitas).

*Dan sekarang telah dibagikan ke Negara negara Timur tengah, dan mungkin saja Al Qur'an Trinitas itu, sudah sampai ke Indonesia

Saya berharap Kita, Ummat Islam Harus Jeli dan Waspada, dan Kita Harus menolong agama Allah yg sedang di Acak acak Utk Dijholimi 

Jika Kita tidak percaya, maka bukalah google dan ketik
(مصحف مثلث التوحيد )
(Mushaf tauhid segitiga) dan google akan segera memperlihatkan hal itu pada Kita

Saya berharap Kita, infokan Berita Menyedihkan ini pada Saudara Kita/kaum muslimin dan muslimat sehingga pada hari kiamat,Ketika Kita  di tanya:
""Upaya apa yang telah kau perbuat saat engkau mendengar adanya  pendistorsian Al-Quran?""
Kita telah terbebas dari tanggung jawab

Semoga Allah membalas Kita dengan kebaikan.

💥💥 بلغوا اكبر عدد: عاجل.. لا أحد يقرا الا من المصحف مباشرة.. أو من طبعة سعودية فقط.. هناك مصاحف منزلة في النت محرفة.. وهذه صورة للمصاحف الموجودة بالأب ستور والماركت.. ويجب أن تنشر وبسرعة يا جماعة الخير.. ومن قرأ هذه الرسالة فقد بلغ وليس معذور بعدم ابلاغها.. برامج قرآن كريم ولكن فيها تحريف.. يوم يسألك ربك: ماذا عملت لدينك؟؟ فتقول: دافعت عنه.. إنشروا الصوره جزاكم الله خير!!..*http://i.imgur.com/edqgL.jpgo *اللهم إني قد بلغت

💥💥 * share sebanyak mungkin: segera/penting 

(Sebaiknya) tidaklah seseorang membaca Al-Quran kecuali dengan cara langsung melihat Al-Quran atau hanya dari cetakan Saudi saja.

Karena disana banyak salinan Al-Quran dalam status net yang terdistorsi.
(Read : di media online pun sudah banyak aplikasi quran yang telah di rubah oleh tangan tangan kotor)

Info ini harus segera di share secepatnya ... Wahai Saudara dan saudariku (yang masih peduli dengan Al Qur'an dan kebaikan.

Barang siapa yang membaca pesan ini, maka telah sampai padanya, dan tidak ada 'udzur baginya untuk tidak menyampaikannya.

Program Al-Quranul Karim, tapi ada distorsi/ perubahan (isinya).

(Dan) pada hari ketika Rabb-mu bertanya padamu:
""Apa yang kau lakukan untuk agamamu?""

Kami menjawab: ""aku membelanya ya Rabb""

Sebarkan...
Jazaa kumullahu khairan Katsiiron
Semoga Allah membalasmu dengan kebaikan...

Ya Allah...
(Persaksikan) bahwa diriku telah menyampaikan hal ini...

http://i.imgur.com/edqgL.jpgo

Mohon di sebarkan kpd umat Islam lebih banyak menyebarkannya lebih baik",hoaks,berantai,agama,false context
"Bismillahirrohmanirrohim...
Assalamualaikum Warahmatullahi Wabarokatuh.. 
Tolong Infokan kpd Saudara2, Sahabat kita yg terjangkit Covid.19 atau yg akan Rapid test dan Swab.
Ini obat Herbal yg Manjur sekaligus Anugerah dari Allah,  yg mudah didapat dan tersedia di Lingkungan kita utk Membunuh VIRUS &
COVID. 19.

Bahan2nya Sbb :

🥥 Air KELAPA MUDA (1 buah) 

🍈 Air JERUK NIPIS (1 buah) 

 🥄 GARAM 1/2
Sendok Teh

🥃 MADU 2 Sendok

Semuanya diaduk dan Minum Airnya.
1 jam kemudian Virusnya dijamin akan hilang dan Hasil test RAPID/SWAB kembali Normal dan dinyatakan Negatif. 
Mudah-mudahan Semuanya dalam Keadaan Sehat Walafiat.

Noot : 
Agar Infokan kpd Sahabat & keluarga. 
Semoga Bermanfaat

Sudah di uji coba Kepada Pasien an. Bapak BERTUS TNI-AD Tugas di KODAM Brawijaya

Swab pertama : Hasilnya dinyatakan POSITIF Covid.19

Sehari Kemudian Minum Ramuan ini dan ditest Swab kembali.....Hasilnya Dinyatakan NEGATIF*🙏🙏🤝

VIRALKAN : Agar INDONESIA NORMAL KEMBALI. 

Target : 200 Juta Penduduk INDONESIA Baca dan Minum-Minuman HERBAL Ini Agar Tidak Takut Lagi Hadapi COVID. 19
Sbg MOMOK Seluruh BANGSA di Dunia. 
Kirimkan ke semua GROUP & WA demi kemaslahatan Umat Dan Keselamatan
Bangsa Indonesia
Khususnya .-",hoaks,berantai,kesehatan,Misleading Content
"Bismillah

*Tolong viralkan seluruh grup-WA  dan FB 

Salam perjuangan Semua... 
mohon panjangkan whatsapp ini.. 
Hanya dengan cara copy n paste... ini datangnya daripada Kerabat / sdr2 di Brunei Darulsalam ....mereka  telah bjaya mengatasi wabak covid 19...dan boleh hidup seperti biasa masa dulu sebelum COVID 19.

Assalamualaikum Warohmatullahi. Wabarokatuh.

Kepada sekalian yang mulia.: 
Seluruh Saudara2ku Muslimin & Muslimat,
di Seluruh tanah air MALAYSIA/ SINGAPORE/ INDONESIA YANG TERCINTA.

Kami ingin mengajak semua untuk berzikir mengingat Allah SWT yang  Maha Agung, 

Kami ingin mengajak 200,000,000 orang malah lebih dari itu seluruh umat dimuka bumi bersalawat ke atas Nabi Muhammad SAW. 

Dengan jutaan orang berzikir , semoga Umat Islam diselamatkan oleh ALLAH SWT dari berbagai bencana alam wabah COVID 19 dan mala petaka. Dengan berkah para Anbiya, para Aulia, para ahli Nubuwwah, para Syuhada, para Ulama Warisatul Anbiya, para Mukminin & Mukminat, Muslimin & Muslimat dan RahmatNya Allah SWT, semoga ada perubahan Baik,  semoga ada kesudahan yg lebih baik. Kita sama sama memohon kepada Allah SWT.

Hanya baca & sebarkan kepada sanak saudara , handai taulan & rekan2 yg lain. 

اللهم صل على  محمد وعلى ال  محمد

ALLAHUMMA SHALLI 'ALA MUHAMMAD,
WA 'ALA AALI MUHAMMAD

كما صليت على ابراهيم وعلى ال  ابراهيم

KAMAA SHALLAITA 'ALA IBRAHIM,
WA 'ALA AALI IBRAHIM

وبارك على  محمد وعلى ال  محمد

WABAARIK 'ALA  MUHAMMAD,
WA 'ALA AALI MUHAMMAD

كما باركت على  ابراهيم وعلى ال  ابراهيم فى العالمين انك حميد مجيد 

KAMAA BAARAKTA 'ALA IBRAHIM,
WA 'ALA AALI IBRAHIM,
FIL 'ALAMIN INNAKA HAMIDUM MAJID

YA ALLAAH     يا الله
YA RAHMAAN   يا رحمن 
YA RAHIIM    يا رحيم
YA MALIK     يا ملك
YA QUDDUUS   يا قدوس

YA AZIIZ    يا عزيز
YA ALIIM    يا عليم
YA JABBAAR   يا جبار
YA GHANIYY   يا غني
YA LATHIIF   يا لطيف

YA KHABIIR    يا خبير
YA AWWAAL     يا أول
YA AAKHIR    يا آخر
YA BASHIIR   يا بصير
YA SHABUUR   يا صبور

YA SHAMAD    يا صمد
YA MUJIIBU  يا مجيب
YA WAAJIDU  يا واجد    
YA RA'UUF   يا رؤوف
YA QAADIR   يا قادر

YA WAAHID   يا واحد
YA HALIIM   يا حليم
YA HAYYU    يا حي
YA QAYYUUM  يا قيوم
YA SALAAM   يا سلام

YA JABBAAR   يا جبار
YA MUTAKABBIR يا متكبر
YA KHAALIQ   يا خالق
YA BAARI    يا بارئ
YA RAZZAAQ   يا رزاق

Kirim nama Allah SWT kpd semua teman Muslim dan IN SHAA ALLAH ... dalam beberapa menit nanti ramai orang bersama2 membaca keindahan nama Allah SWT.

Tolong sebarkan pesanan ini.

_*Anggaplah sebagai sedekah Jariyah. Untuk kita.



Astaghfirullah
أستغفر الله
Astaghfirullah
أستغفر الله
Astaghfirullah 
أستغفر الله

Hasbunallahu Wa Ni'mal Wakiil.
حسبنا الله ونعم الوكيل
Hasbunallahu Wa Ni'mal Wakiil.
حسبنا الله ونعم الوكيل
Hasbunallahu Wa Ni'mal Wakiil.
حسبنا الله ونعم الوكيل
Hasbunallahu Wa Ni'mal Wakiil.
حسبنا الله ونعم الوكيل
Hasbunallahu Wa Ni'mal Wakiil.
حسبنا الله ونعم الوكيل
Hasbunallahu Wa Ni'mal Wakiil.
حسبنا الله ونعم الوكيل
Hasbunallahu Wa Ni'mal Wakiil.
حسبنا الله ونعم الوكيل

Selesai membacanya, kirim kepada teman lain.Jangan lupa untuk menghantar kepada keluarga , sanak saudara , handai taulan  & rekan2 anda dan seterusnya kepada keluarga & rekan2 mereka pula.
Dalam beberapa menit,
berjuta orang akan membacanya.
Anda tak akan rugi apa2 pun, biarkan Doa & Zikir ini 
sentiasa berjalan. Semoga menjadi asbab kebaikan untuk kita  semua... Aamiin... 

Terima kasih",hoaks,berantai,agama,false context
"Share dari Ketua Satgas Covid Pak Dwiyono

Informasi tentang pencegahan Covid19:

Air panas yang Anda minum baik untuk tenggorokan Anda.

Namun virus corona ini tersembunyi di balik sinus paranasal hidung Anda selama 3 hingga 4 hari.

Air panas yang kami minum tidak sampai di sana.

Setelah 4 hingga 5 hari, virus yang tersembunyi di balik sinus paranasal ini mencapai paru-paru Anda.

Kemudian Anda kesulitan bernapas.

Itulah mengapa sangat penting untuk menghirup uap air panas, yang mencapai bagian belakang sinus paranasal Anda.

Anda harus membunuh virus di hidung dengan uap.

Pada suhu 50 ° C, virus ini menjadi lumpuh, lumpuh.

Pada suhu 60 ° C virus ini menjadi sangat lemah sehingga sistem kekebalan manusia mana pun dapat melawannya.

Pada suhu 70 ° C virus ini mati total.

Inilah yang dilakukan steam.

Seluruh departemen kesehatan masyarakat mengetahui hal ini tetapi banyak yang ingin memanfaatkan pandemi ini sehingga mereka tidak membagikan informasi ini secara terbuka.

Orang yang tinggal di rumah harus melakukan menghirup uap panas sekali sehari.

Jika Anda pergi ke pasar atau keluar rumah untuk berbelanja, menghirup uap panas dua kali sehari.

Siapapun yang bertemu dengan beberapa orang atau pergi ke kantor harus menghirup uap panas uap 3 kali sehari.

Seminggu ber-uap:

Menurut dokter, Covid -19 dapat dibunuh dengan menghirup uap dari hidung dan mulut, menghilangkan virus Corona.

Jika semua orang memulai Kampanye Drive Uap selama seminggu, pandemi akan segera berakhir.

Jadi inilah sarannya:

Mulai prosesnya selama seminggu dari pagi dan sore, selama 5 menit saja, untuk menghirup uap.
  
Jika semua mengadopsi praktik ini selama seminggu, Covid-19 yang mematikan akan terhapus.

Praktik ini juga tidak memiliki efek samping.

Jadi tolong kirimkan pesan ini ke semua kerabat, teman dan tetangga kalian, agar kita semua bisa bersama-sama membunuh virus corona ini dan hidup serta berjalan dengan bebas di dunia indah ciptaan Tuhan ini.

Uap menggunakan Eucalyptus Oil atau Vicks lebih bagus lagi.

Berkah bagi semua yang akan menggunakan terapi ini dan membagikannya dengan orang lain!",hoaks,tidak berantai,kesehatan,Misleading Content
"ANDA SUDAH BERUSIA LEBIH 50 TAHUN??

Jalan kaki sehat, dan minum air hangat
Oleh : Dr.Handrawan Nadesul

Banyak yg tidak tahu,_
karena  memang  tidak
ada  yg  memberi  tahu,
kalau  sudah
usia  kepala  5,
sebaiknya tidak memilih
jogging,
berlari,
apalagi  lompat


Jangan  sampai  salah
memperlakukan
Sendi  Lutut,
akibat  masih  tetap
jogging,  berlari,
main tennis,
badminton,  volley,
& aktivitas fisik lain yg
Membebani  Sendi Lutut.

Itu yg saya maksudkan
dengan  pengetahuan
Sehat  itu  Murah..

Contoh  lain  yang
tidak boleh dilakukan
di  Usia  Kepala  5,
tidak menginjak kerikil
tanpa  alas  kaki
sehingga  persarafan
Telapak  Kaki
menderita  radang
akibat  tertekan
kerasnya  kerikil  yg
sangat  keras
selama  memikul
bobot  tubuh.

Alasan  bahwa  itu
sebagai  refleksologi
tidak  bisa
diterima  akal  sehat.

Refleksologi ?
Tekanan yg diterima
telapak  kaki
hanya  dilakukan  oleh
jempol  tangan  saja
yg  tekanannya  itu
paling  kuat  hanya
sekitar  5  kg.

Namun  apabila
berdiri  di  atas  kerikil,
tekanannya  adalah
seberat  bobot  tubuh.

Karena  tidak  ada
yang  memberi  tahu
dan  hanya  karena
mendengar  katanya
menginjak  kerikil
tanpa  alas  kaki
bisa  menyehatkan,
maka  yg  semula
maunya supaya sehat,
malah  jadi  korban
kerusakan  saraf
telapak  kaki.

Akibat  buruk
menginjak  kerikil
bisa  mengakibatkan
terjadinya
Fascitis/Plantaris.


Murahnya  pengetahuan
yang  memberi
informasi  tidak
menginjak  kerikil
tanpa  alas  itu
menjadi  mahal
kalau  kita  tidak  tahu.

Salam  sehat,
Dr HANDRAWAN NADESUL


dr. Handrawan Nadesul https://g.co/kgs/mF9VJd
 MINUM AIR HANGAT BISA SELAMATKAN NYAWA

HARAP BERBAGI INFO INI DGN  KEL & TEMAN2, SANGAT PENTING DAN BISA MENYELAMATKAN KEHIDUPAN.

Sekelompok Dokter Jepang menegaskan bahwa air hangat adalah 100% efektif dalam menyelesaikan beberapa masalah kesehatan seperti : 
  
1. Migrain
2. Tekanan darah tinggi
3. Tekanan darah rendah
4. Nyeri sendi
5. Peningkatan dan penurunan detak jantung secara tiba-tiba
6. Epilepsi
7. Meningkatkan kadar kolesterol
8. Batuk
9. Ketidaknyamanan tubuh
10. Nyeri gout
11. Asma
12. Batuk terus menerus
13. Penyumbatan pembuluh darah
14. Penyakit yang terkait dengan Uterus & Urine
15. Masalah perut
16. Nafsu makan yang buruk
17. Juga semua penyakit yang berkaitan dengan mata, telinga & tenggorokan.
18. Sakit kepala

BAGAIMANA CARA MEMAKAI AIR HANGAT
 
Bangun pagi-pagi dan minum sekitar
 2 gelas air hangat ketika perut kosong

 Anda mungkin tidak dapat membuat 2 gelas di awal tetapi perlahan-lahan.

CATATAN:

JANGAN makan apa pun 45 menit setelah minum air hangat

Terapi air hangat akan menyelesaikan masalah kesehatan dalam jangka waktu yang wajar seperti:

✔ Diabetes dalam 30 hari
✔ Tekanan darah dalam 30 hari
✔ Masalah perut dalam 10 hari
✔ Semua jenis Kanker dalam 9 bulan
✔ Penyumbatan pembuluh darah dalam 6 bulan
✔ Nafsu makan yang buruk dalam 10 hari
✔ Uterus dan penyakit terkait dalam 10 hari
✔ Masalah Hidung, Telinga, dan Tenggorokan dalam 10 hari
✔ Masalah wanita dalam 15 hari
✔ Penyakit jantung dalam 30 hari
✔ Sakit kepala / migrain dalam 3 hari
✔ Kolesterol dalam 4 bulan
✔ Epilepsi dan kelumpuhan terus menerus dalam 9 bulan
✔ Asma dalam 4 bulan

AIR DINGIN ITU TIDAK BAIK UNTUK ANDA !!!

Jika air dingin tidak mempengaruhi Anda pada usia muda, akan membahayakan Anda di usia tua.

Air dingin menutup 4 urat-urat jantung dan menyebabkan serangan jantung. Minuman dingin adalah alasan utama untuk serangan jantung.

Ini juga menciptakan masalah di hati karena membuat lemak terjebak di hati. Kebanyakan orang yang menunggu transplantasi hati adalah korban minum air dingin.

Air dingin mempengaruhi dinding internal lambung,Ini mempengaruhi usus besar dan menghasilkan Kanker

JANGAN TAHAN INFORMASI INI UNTUK DIRI SENDIRI

SEBARKAN, UNTUK SELAMATKAN NYAWA SESEORANG
🙏",hoaks,tidak berantai,kesehatan,fabricated content
